cubename	galaxy	ra	dec	Type	a_v	D_ang (arcmin)	D_lin (kpc)	z	d (Mpc)	seeing	Lin Esc (pc)	D_25_B	r/R_25_B	t_e	Incl	PA	A++	ut	bt	vt	rt	it	mabs
SN2012bl	ESO234-19	20h23m51.01s	-48d21m31.7s	Sbc edge-on	0.09114	1.99	41.48	0.01868	79.98	1.07	414.9	1.23	0.158	4.0	90.0	69			15.25		14.0	13.55	-20.675
SN2005bg	MCG+03-31-093	12h17m17.23s	16d22m17.4s	Sb	0.08184	0.7	20.42	0.02296	98.332	0.88	419.52	1.51	0.87	3.0	30.68			15.977	15.107		14.146	14.082	-20.252
SN2007bc	UGC06332	11h19m16.62s	20d48m48.8s	(R)SBa	0.05797	1.76	46.72	0.02063	88.37	0.98	419.86	0.96	0.871	1.0	31.35	130		15.688	14.332		12.998	12.637	-20.733
PTF11qnr	NGC7364	22h44m24.37s	-00d09m43.5s	S0/a pec	0.17236	1.78	36.52	0.01629	69.753	1.27	429.48	1.12	0.603	-1.0	61.51	65		15.092	13.356		12.401	12.02	-21.328
SN2009aa	ESO570-G020	11h23m40.96s	-22d16m13.8s	Sc	0.09145	1.0	33.16	0.02724	116.679	0.76	429.91	1.45	0.62	5.0	53.23				15.065			13.335	-20.847
SN2009J	IC2160	05h55m28.56s	-76d55m12.9s	(R')SB(s)c pec	0.23498	3.3	53.67	0.01579	67.603	1.39	455.57		0.398	5.0	69.5	108			13.853	13.113	12.7	12.043	-21.114
ASASSN-14iz	ESO462-G009	20h21m51.56s	-31d17m23.1s	(R')SB(r)a	0.18197	1.39	36.16	0.0193	82.657	1.15	460.84		0.759	1.0	43.59	115			14.688	14.7	13.3	12.786	-20.493
SN2008V	NGC1591	04h29m30.55s	-26d42m47.2s	SB(r)ab pec	0.09517	1.75	24.82	0.01387	59.38	1.64	472.13		0.646	1.0	53.93	30			13.688		12.62	12.084	-20.515
ASASSN-15bm	2MASXJ150551.68-053732.2	15h05m51.68s	-05d37m32.9s	Sb	0.21421	0.99	25.38	0.02065	88.417	1.11	475.81	1.55	0.32	3.0	78.67		NEW OBJ.		15.54		14.78		-21.323
ASASSN-15ab	ESO325-G045	14h03m08.54s	-38d28m31.2s	SB(s)d	0.28241	1.5	27.95	0.01778	76.126	1.29	476.1		0.708	7.0	45.66	61			14.34		13.63		-20.724
SN2007as	ESO18-18	09h27m40.44s	-80d10m47.8s	Sb	0.38099	1.0	21.87	0.01705	73.034	1.38	488.63	1.18	0.79	3.0	39.38								
SN2005na	UGC3634	07h01m36.76s	14d08m06.9s	SB(r)a	0.21142	1.26	39.52	0.02634	112.82	0.93	508.68	1.12	0.832	1.0	35.98	135			15.5				-20.327
SN2006br	NGC5185	13h30m02.25s	13d24m57.8s	Sb	0.06107	1.9	63.1	0.02465	105.578	1.01	516.98	1.23	0.363	3.0	74.65	58		16.016	14.475		13.126	12.661	-21.549
SN2014cr	NGC6806	19h37m05.05s	-42d17m46.6s	SAB(rs)c pec	0.23994	2.55	53.73	0.01902	81.466	1.32	521.35		0.631	5.0	52.38	24			13.707	13.187	13.3	13.1224	-21.478
SN2012fw	ESO235-G37	21h01m59.62s	-48d16m27.9s	S0/a	0.0961	1.27	30.21	0.01898	81.304	1.37	540.01		0.46	-1.0	78.04				15.61		14.35	14.215	-19.163
